Subject,MatPath,ErrorLoading,TimePoints,RawROIs,RawROIsMatchExpected,NaNsCount,NaNsPct,ZerosCount,ZerosPct,NullChannelsCount,NullChannelsPct
032_S_6600,ROISignals_032_S_6600.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
032_S_6602,ROISignals_032_S_6602.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
032_S_6700,ROISignals_032_S_6700.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
032_S_6804,ROISignals_032_S_6804.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
032_S_6855,ROISignals_032_S_6855.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
035_S_4114,ROISignals_035_S_4114.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
035_S_4414,ROISignals_035_S_4414.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
035_S_6380,ROISignals_035_S_6380.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
035_S_6480,ROISignals_035_S_6480.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
035_S_6641,ROISignals_035_S_6641.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
035_S_6650,ROISignals_035_S_6650.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
035_S_6660,ROISignals_035_S_6660.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
035_S_6947,ROISignals_035_S_6947.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
035_S_7000,ROISignals_035_S_7000.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
035_S_7001,ROISignals_035_S_7001.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
035_S_7021,ROISignals_035_S_7021.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
035_S_7049,ROISignals_035_S_7049.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
035_S_7073,ROISignals_035_S_7073.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
035_S_7105,ROISignals_035_S_7105.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
035_S_7120,ROISignals_035_S_7120.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
035_S_7121,ROISignals_035_S_7121.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
037_S_0150,ROISignals_037_S_0150.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
037_S_0377,ROISignals_037_S_0377.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
037_S_4030,ROISignals_037_S_4030.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
037_S_4214,ROISignals_037_S_4214.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
037_S_4302,ROISignals_037_S_4302.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
037_S_4706,ROISignals_037_S_4706.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
041_S_4051,ROISignals_041_S_4051.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
041_S_4143,ROISignals_041_S_4143.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
041_S_4271,ROISignals_041_S_4271.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
041_S_4510,ROISignals_041_S_4510.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
041_S_4513,ROISignals_041_S_4513.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
041_S_4874,ROISignals_041_S_4874.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
041_S_4876,ROISignals_041_S_4876.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
041_S_4974,ROISignals_041_S_4974.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
053_S_0919,ROISignals_053_S_0919.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
